iso3,lat,lon,adminid,pop,closest_dist_0,closest_dist_1,closestid0,closestid1,id
COL,2.520833333,-78.39583333,COL.21.38_1_gadm36,592.6647949,2001.614199,2001.614199,1023073,1023073,158
COL,2.479166667,-78.39583333,COL.21.38_1_gadm36,583.9776001,1314.555974,1314.555974,1011061,1011061,159
COL,2.4375,-78.39583333,COL.21.38_1_gadm36,570.9368896,3072.717037,3072.717037,1011060,1011060,161
COL,1.395833333,-78.52083333,COL.21.60_1_gadm36,1283.751221,596.1686829,596.1686829,1020239,1020239,86
COL,1.479166667,-78.52083333,COL.21.60_1_gadm36,1283.703491,1659.85709,1659.85709,1020214,1020214,87
COL,1.5625,-78.52083333,COL.21.60_1_gadm36,1283.65332,10084.80489,10084.80489,1020214,1020214,88
COL,1.645833333,-78.52083333,COL.21.60_1_gadm36,1283.600464,3956.755858,3956.755858,1020187,1020187,89
COL,1.729166667,-78.52083333,COL.21.60_1_gadm36,1283.544678,2150.903696,2150.903696,1020309,1020309,90
COL,1.895833333,-78.52083333,COL.21.60_1_gadm36,1119.679688,1663.395694,5544.269338,1020104,1020106,93
COL,1.4375,-78.47916667,COL.21.60_1_gadm36,1363.153687,2497.003829,4340.967139,540727,1020209,105
COL,1.520833333,-78.47916667,COL.21.60_1_gadm36,1363.101929,5057.517868,5057.517868,1020209,1020209,106
COL,1.6875,-78.47916667,COL.21.60_1_gadm36,1362.989258,1357.091405,1357.091405,1020265,1020265,108
COL,1.770833333,-78.47916667,COL.21.60_1_gadm36,1322.859863,1091.406213,1091.406213,1023271,1023271,110
COL,1.520833333,-78.4375,COL.21.60_1_gadm36,1421.071289,6288.788049,7376.26653,1020261,1020209,128
COL,1.604166667,-78.4375,COL.21.60_1_gadm36,1421.01416,862.3033009,862.3033009,1020264,1020264,129
COL,1.3125,-78.52083333,COL.21.46_1_gadm36,1283.795776,187.7618653,187.7618653,1020291,1020291,85
COL,2.145833333,-78.5625,COL.21.20_1_gadm36,901.2946777,1705.780338,1705.780338,1010241,1010241,83
COL,2.4375,-78.5625,COL.21.38_1_gadm36,320.5179138,4075.834003,4075.834003,1011095,1011095,84
COL,2.270833333,-78.52083333,COL.21.47_1_gadm36,902.3153687,1760.640451,1760.640451,1010236,1010236,95
COL,1.5625,-78.35416667,COL.21.5_1_gadm36,527.4624023,2586.145608,2586.145608,1023201,1023201,183
COL,1.395833333,-78.35416667,COL.21.5_1_gadm36,903.2197266,2243.18189,3537.129186,1010493,541215,192
COL,1.4375,-78.3125,COL.21.5_1_gadm36,1431.661987,4296.863636,4296.863636,540695,540695,196
COL,1.395833333,-78.3125,COL.21.5_1_gadm36,1224.35083,5673.115227,5673.115227,540695,540695,198
